Date,Price,Open,High,Low,Vol.,Change
07/29/2019,1420.4,1419,1428,1414.4,224.27K,0.08%
07/26/2019,1419.3,1414.9,1424.8,1412.9,306.02K,0.33%
07/25/2019,1414.7,1426.8,1434.1,1411.1,489.39K,-0.63%
07/24/2019,1423.6,1418.6,1430,1416.7,318.16K,0.13%
07/23/2019,1421.7,1426,1431.4,1414.6,386.68K,-0.36%
07/22/2019,1426.9,1428.5,1430.8,1423,255.35K,0.01%
07/19/2019,1426.7,1448.3,1454.4,1421.1,530.02K,-0.10%
07/18/2019,1428.1,1428.5,1449.7,1415.6,481.33K,0.34%
07/17/2019,1423.3,1407.9,1428.4,1401.3,358.17K,0.86%
07/16/2019,1411.2,1416.4,1420,1402.1,334.82K,-0.16%
07/15/2019,1413.5,1417.7,1421.6,1409.3,243.38K,0.09%
07/12/2019,1412.2,1406.2,1418.9,1404.5,284.97K,0.39%
07/11/2019,1406.7,1421.1,1429.4,1402.7,400.09K,-0.41%
07/10/2019,1412.5,1400,1421.1,1391.8,443.50K,0.86%
07/09/2019,1400.5,1397.9,1402.4,1387.5,287.18K,0.04%
07/08/2019,1400,1401,1409.9,1393.8,318.69K,-0.01%
07/05/2019,1400.1,1421.6,1426.8,1388.6,577.38K,0.00%
07/04/2019,1400.1,1421.6,1426.8,1388.6,577.38K,-1.46%
07/03/2019,1420.9,1424.7,1441,1414.7,419.61K,0.92%
07/02/2019,1408,1386.2,1424,1386.2,383.25K,1.35%
07/01/2019,1389.3,1401.8,1401.9,1384.7,389.76K,-1.73%
06/28/2019,1413.7,1413.3,1427.8,1408.6,306.62K,0.12%
06/27/2019,1412,1412.7,1415.3,1401.4,336.36K,0.04%
06/26/2019,1411.5,1421.8,1421.8,1380,1.33K,-0.30%
06/25/2019,1415.8,1419.9,1438.2,1412.5,0.94K,0.04%
06/24/2019,1415.2,1401.1,1421.4,1401.1,0.98K,1.28%
06/21/2019,1397.3,1389.9,1412,1383.4,0.98K,0.23%
06/20/2019,1394.1,1361.2,1393.9,1358.8,1.10K,3.59%
06/19/2019,1345.8,1347.8,1363,1342,0.65K,-0.15%
06/18/2019,1347.8,1340.9,1354.8,1339.6,0.90K,0.58%
06/17/2019,1340,1342.5,1343.9,1333.9,0.56K,-0.13%
06/14/2019,1341.7,1343.4,1359,1338.7,1.50K,0.07%
06/13/2019,1340.8,1334.9,1344,1333.3,0.62K,0.52%
06/12/2019,1333.9,1327.5,1338.8,1326.8,0.61K,0.42%
06/11/2019,1328.3,1328.9,1330.4,1320.8,0.38K,0.15%
06/10/2019,1326.3,1336.8,1337.5,1326.1,0.47K,-1.27%
06/07/2019,1343.3,1337.1,1349.5,1332.6,0.79K,0.26%
06/06/2019,1339.8,1332.3,1341.2,1328.8,0.51K,0.69%
06/05/2019,1330.6,1327.3,1345.6,1326.9,0.91K,0.37%
06/04/2019,1325.7,1327,1330.8,1322.2,0.82K,0.06%
06/03/2019,1324.9,1308,1329.7,1308,1.04K,1.29%
05/31/2019,1308,1290.3,1308.5,1289.7,1.98K,1.40%
05/30/2019,1289.9,1282.1,1291,1276.7,1.19K,0.69%
05/29/2019,1281,1278.9,1285.2,1278.4,189.69K,0.31%
05/28/2019,1277.1,1283.5,1286.9,1275.1,362.16K,0.00%
05/27/2019,1277.1,1283.5,1286.9,1275.1,362.16K,-0.51%
05/24/2019,1283.6,1283.2,1284.7,1280.1,218.71K,-0.14%
05/23/2019,1285.4,1273.3,1287.1,1272.1,330.16K,0.88%
05/22/2019,1274.2,1274.4,1277.1,1272,191.37K,0.08%
05/21/2019,1273.2,1277.7,1277.7,1269,213.17K,-0.32%
05/20/2019,1277.3,1277.6,1278.8,1273.3,212.18K,0.13%
05/17/2019,1275.7,1287.2,1289,1274.6,264.57K,-0.82%
05/16/2019,1286.2,1297.7,1299.3,1284.2,282.07K,-0.89%
05/15/2019,1297.8,1298,1301.7,1293.6,247.52K,0.12%
05/14/2019,1296.3,1300.8,1304.2,1294.3,222.05K,-0.42%
05/13/2019,1301.8,1288.3,1302.2,1282.4,379.44K,1.12%
05/10/2019,1287.4,1285,1290.3,1283.9,238.64K,0.17%
05/09/2019,1285.2,1281.9,1289.2,1280.4,306.55K,0.30%
05/08/2019,1281.4,1285.6,1292.8,1280.2,302.69K,-0.33%
05/07/2019,1285.6,1282.4,1287.3,1279.1,251.09K,0.14%
05/06/2019,1283.8,1281.8,1287.4,1278.1,244.34K,0.20%
05/03/2019,1281.3,1271.6,1283.9,1269,280.32K,0.73%
05/02/2019,1272,1278.5,1279.4,1267.3,282.50K,-0.95%
05/01/2019,1284.2,1285.2,1289.4,1274.5,275.43K,-0.12%
04/30/2019,1285.7,1281.9,1288.2,1281.5,239.44K,0.33%
04/29/2019,1281.5,1289,1289.1,1279.9,208.96K,-0.31%
04/26/2019,1285.5,1277,1287.2,1276.2,0.80K,0.71%
04/25/2019,1276.4,1273.6,1281.2,1272.7,0.98K,-0.02%
04/24/2019,1276.6,1271.5,1276.5,1267.9,0.34K,0.47%
04/23/2019,1270.6,1274.4,1275,1265.9,0.73K,-0.32%
04/22/2019,1274.7,1275.3,1278.6,1272.9,0.13K,0.13%
04/18/2019,1273.1,1273.5,1276.6,1270.4,0.57K,-0.05%
04/17/2019,1273.8,1276.3,1279.2,1272.5,0.46K,-0.03%
04/16/2019,1274.2,1288.7,1288.7,1273,1.54K,-1.11%
04/15/2019,1288.5,1291.2,1292.1,1283,0.43K,-0.29%
04/12/2019,1292.2,1293.3,1296.3,1290.5,0.35K,0.13%
04/11/2019,1290.5,1308.5,1309.1,1290.4,1.51K,-1.51%
04/10/2019,1310.3,1305,1311,1301.7,0.79K,0.40%
04/09/2019,1305.1,1298.7,1307,1297.5,0.59K,0.49%
04/08/2019,1298.8,1294.4,1304.4,1292.7,0.94K,0.48%
04/05/2019,1292.6,1293.7,1294.5,1285.6,0.44K,0.09%
04/04/2019,1291.4,1291.5,1295.7,1282,1.14K,-0.07%
04/03/2019,1292.3,1293.6,1296,1290,1.02K,-0.02%
04/02/2019,1292.5,1288.7,1293.8,1286.8,0.93K,0.10%
04/01/2019,1291.2,1294.3,1298.3,1288.3,1.55K,-0.34%
03/29/2019,1295.6,1292.2,1301.5,1288.6,1.31K,0.24%
03/28/2019,1292.5,1312.6,1314.2,1290.5,3.66K,-1.37%
03/27/2019,1310.4,1315.4,1318.8,1307.3,206.26K,-0.35%
03/26/2019,1315,1321.5,1323,1312.1,267.17K,-0.57%
03/25/2019,1322.6,1313.3,1324.5,1310.6,251.98K,0.78%
03/22/2019,1312.3,1309.3,1314.7,1306.5,271.38K,0.38%
03/21/2019,1307.3,1312.7,1320.2,1302.8,332.61K,0.43%
03/20/2019,1301.7,1306,1317.2,1298.1,370.40K,-0.37%
03/19/2019,1306.5,1303.7,1310.8,1302.1,206.90K,0.38%
03/18/2019,1301.5,1302,1306.7,1298,176.49K,-0.11%
03/15/2019,1302.9,1295.6,1306.3,1293.7,234.65K,0.60%
